,ID,Jee marks,school name,date of application,EmailId,ContactNo,Gender,School completion date,City,CBSE marks,first name,last name,Father first name,Father last name, Mother first name,Mother last name
0,20,450.260987970634,High school,24/03/2022,Martin_Dickson5712@deons.tech,6-6304743518,M,01/11/2021,Springfield,45.59453703158733,martin,dickson,martin,dickson,martin,dickson
1,22,335.347819253033,University-preparatory school,11/04/2022,Leroy_Samuel2186@vetan.org,6-4317804273,M,23/12/2021,Chicago,19.078937507676223,leroy,samuel,leroy,samuel,leroy,samuel
2,26,499.398715044557,Graduate school,03/04/2022,Andie_Watson617@qater.org,2-8412060037,F,10/03/2022,Fort Lauderdale,11.739074463308228,andie,watson,andie,watson,andie,watson
3,27,491.327103350464,University college,08/04/2022,Savannah_Cavanagh90@fuliss.net,6-3532284835,F,19/07/2021,Richmond,37.854402400424725,savannah,cavanagh,savannah,cavanagh,savannah,cavanagh
4,28,325.753666289502,University-preparatory school,15/04/2022,Ronald_Wood8417@sheye.org,3-0305275317,M,10/04/2022,Fort Lauderdale,20.548155456975927,ronald,wood,ronald,wood,ronald,wood
5,29,370.005300682506,Middle school,02/04/2022,Jack_Irving431@joiniaa.com,0-1526205637,M,12/04/2020,Tallahassee,10.395816878539222,jack,irving,jack,irving,jack,irving
6,30,380.331430745,High school,13/03/2022,Tony_Alexander4464@hourpy.biz,3-3767313006,M,07/09/2021,Hayward,29.747540466309125,tony,alexander,tony,alexander,tony,alexander
7,38,318.812308140477,Graduate school,31/03/2022,Barry_Samuel980@naiker.biz,7-8305356602,M,16/11/2021,Worcester,45.23101004962843,barry,samuel,barry,samuel,barry,samuel
8,39,296.264118637547,Graduate school,03/04/2022,Penelope_Clarke392@irrepsy.com,5-7414784384,F,26/07/2021,Santa Ana,16.878486669039425,penelope,clarke,penelope,clarke,penelope,clarke
9,44,415.007678831465,Technical college,06/03/2022,Nate_Rigg1710@deons.tech,5-6371630406,M,02/09/2021,Memphis,9.163709851463025,nate,rigg,nate,rigg,nate,rigg
