ID,name,Jee marks,school name,date of application,Father name,Mother name,EmailId,ContactNo,Gender,School completion date,City,CBSE marks
710,Stacy Aldridge,43.9298389465221,University-preparatory school,3/30/2022,Stacy Aldridge,Stacy Aldridge,Stacy_Aldridge4517@deavo.com,0-152-302-8650,Female,12/9/2020,Lincoln,107.620625127396
711,Ryan Tanner,25.3092561887155,University-preparatory school,3/1/2022,Ryan Tanner,Ryan Tanner,Ryan_Tanner3015@zorer.org,5-466-664-5847,Male,3/21/2021,Phoenix,113.331721696226
712,Tyson Thornton,38.1294906647548,Junior college,4/15/2022,Tyson Thornton,Tyson Thornton,Tyson_Thornton8990@acrit.org,1-473-754-0458,Male,10/8/2021,Lisbon,31.1138351881475
713,Mark Partridge,475.446747083891,Junior college,3/13/2022,Mark Partridge,Mark Partridge,Mark_Partridge3900@nimogy.biz,2-016-567-3214,Male,10/25/2021,San Jose,83.1834749054087
714,Logan Ainsworth,138.06224228398,University college,3/25/2022,Logan Ainsworth,Logan Ainsworth,Logan_Ainsworth764@famism.biz,1-185-650-1017,Male,1/5/2021,Amarillo,110.769676373699
715,Tyler Wilde,-62.9036811165994,Gymnasium,3/30/2022,Tyler Wilde,Tyler Wilde,Tyler_Wilde3372@iatim.tech,7-102-577-8732,Male,7/31/2020,Garland,-4.6954293999334
716,Owen Yarwood,444.992408830203,Technical college,3/4/2022,Owen Yarwood,Owen Yarwood,Owen_Yarwood5610@yahoo.com,8-648-624-8205,Male,11/30/2021,Garland,112.582795736186
717,Ramon Abbot,458.983077257864,Gymnasium,3/14/2022,Ramon Abbot,Ramon Abbot,Ramon_Abbot823@tonsy.org,7-222-357-6670,Male,11/27/2020,Memphis,-5.8242141687424
718,Henry Walsh,375.048346692253,Middle school,4/8/2022,Henry Walsh,Henry Walsh,Henry_Walsh2044@deavo.com,3-277-543-1247,Male,3/5/2022,Hollywood,195.184610002294
719,Sofia Fulton,247.127542334668,Junior college,3/26/2022,Sofia Fulton,Sofia Fulton,Sofia_Fulton790@brety.org,3-415-631-3578,Female,4/13/2020,Bakersfield,56.1754954490697
720,Barney Eagle,122.980619866392,Gymnasium,4/2/2022,Barney Eagle,Barney Eagle,Barney_Eagle2143@eirey.tech,4-164-272-0175,Male,4/14/2022,Honolulu,118.662183957948
721,Denis Hopkinson,206.643376638015,Middle school,3/8/2022,Denis Hopkinson,Denis Hopkinson,Denis_Hopkinson6820@vetan.org,2-353-626-3062,Male,10/15/2021,Richmond,92.0924066869041
722,Eduardo Tate,-80.5914744490718,Public university,4/3/2022,Eduardo Tate,Eduardo Tate,Eduardo_Tate6904@deavo.com,8-413-133-7212,Male,2/9/2021,Laredo,98.7785242748347
723,Tony Owen,392.685824981279,Corporate university,3/18/2022,Tony Owen,Tony Owen,Tony_Owen1616@joiniaa.com,1-302-451-3866,Male,9/16/2021,Santa Ana,113.922356369403
724,Belinda Warner,324.568447368019,Gymnasium,4/2/2022,Belinda Warner,Belinda Warner,Belinda_Warner2245@famism.biz,6-160-233-8100,Female,10/3/2020,Lyon,5.74258743400806
725,Mike Wright,34.5777731824563,High school,3/31/2022,Mike Wright,Mike Wright,Mike_Wright452@muall.tech,5-668-585-4235,Male,2/2/2022,Stockton,154.562254189775
726,Lillian Dowson,401.260228489181,University college,4/14/2022,Lillian Dowson,Lillian Dowson,Lillian_Dowson8785@atink.com,0-134-054-4135,Female,4/5/2022,Glendale,31.1689216718864
727,Russel Emmott,231.229998553279,University-preparatory school,4/14/2022,Russel Emmott,Russel Emmott,Russel_Emmott7998@jiman.org,7-325-542-4852,Male,5/9/2020,Fort Lauderdale,46.5832441354092
728,David Flanders,208.692460321212,Corporate university,3/30/2022,David Flanders,David Flanders,David_Flanders1268@eirey.tech,7-317-165-7756,Male,10/26/2021,Valetta,178.057877402314
729,Rosalee Varndell,182.16164663395,Graduate school,4/11/2022,Rosalee Varndell,Rosalee Varndell,Rosalee_Varndell3419@eirey.tech,3-634-070-4153,Female,10/4/2021,Chicago,187.104185086724
730,Maddison Kirby,397.261196546844,University college,4/12/2022,Maddison Kirby,Maddison Kirby,Maddison_Kirby1564@naiker.biz,7-432-436-6533,Female,9/24/2021,Cincinnati,4.10932857222358
731,Rocco Hobson,249.160921513178,Junior college,4/16/2022,Rocco Hobson,Rocco Hobson,Rocco_Hobson8747@gompie.com,1-875-231-6261,Male,1/25/2021,Oakland,34.1341022328167
732,Domenic Redwood,-58.0318391327895,Public university,4/13/2022,Domenic Redwood,Domenic Redwood,Domenic_Redwood3450@bungar.biz,5-671-888-1352,Male,1/4/2021,Milano,17.8409954606746
733,Tiffany Niles,253.177039130673,Public university,4/14/2022,Tiffany Niles,Tiffany Niles,Tiffany_Niles2237@atink.com,1-875-654-1160,Female,9/19/2021,Nashville,127.713218672999
734,Hayden Vallory,483.317050584274,University-preparatory school,3/8/2022,Hayden Vallory,Hayden Vallory,Hayden_Vallory1272@elnee.tech,6-031-750-5508,Male,7/31/2021,Salt Lake City,131.210121632651
735,Cedrick Burnley,222.287607367284,University-preparatory school,3/1/2022,Cedrick Burnley,Cedrick Burnley,Cedrick_Burnley152@twipet.com,1-023-628-5020,Male,7/30/2021,Santa Ana,30.2840241628159
736,Camila Coll,274.544675502714,Public university,3/29/2022,Camila Coll,Camila Coll,Camila_Coll1278@bungar.biz,0-466-531-5511,Female,9/30/2020,Minneapolis,87.6820485338951
737,Helen Swan,209.786829748557,Graduate school,3/21/2022,Helen Swan,Helen Swan,Helen_Swan1762@bretoux.com,6-838-581-3855,Female,12/10/2020,Pittsburgh,102.684382306265
738,Javier Ellery,171.986578069155,High school,3/2/2022,Javier Ellery,Javier Ellery,Javier_Ellery6219@guentu.biz,4-373-187-8810,Male,5/16/2020,Valetta,114.034028068666
739,Beatrice Hobbs,134.143308811888,University college,3/26/2022,Beatrice Hobbs,Beatrice Hobbs,Beatrice_Hobbs9295@bauros.biz,1-361-240-5475,Female,7/16/2021,Bridgeport,21.856414852597
740,Denis Harrison,239.12230763171,Public university,3/1/2022,Denis Harrison,Denis Harrison,Denis_Harrison5546@vetan.org,3-038-321-2638,Male,9/25/2020,Lincoln,37.1310504903696
741,Cecilia Sherwood,120.904648943294,Gymnasium,4/7/2022,Cecilia Sherwood,Cecilia Sherwood,Cecilia_Sherwood7834@twipet.com,8-812-521-0047,Female,8/12/2020,Norfolk,53.2403543331848
742,Vera Connell,414.494011053114,University college,4/4/2022,Vera Connell,Vera Connell,Vera_Connell7152@twace.org,8-808-507-0471,Female,10/3/2020,Lincoln,60.4442502564957
743,Samara Niles,-20.2197578378114,Technical college,3/4/2022,Samara Niles,Samara Niles,Samara_Niles7224@gembat.biz,3-328-207-8201,Female,10/25/2021,Arlington,9.50548342871735
744,Rick Smith,-51.6631348196711,Corporate university,4/7/2022,Rick Smith,Rick Smith,Rick_Smith3042@eirey.tech,1-757-682-2013,Male,5/10/2021,Chicago,12.4525016576296
745,Maya Richards,63.6054334498967,Junior college,3/14/2022,Maya Richards,Maya Richards,Maya_Richards7678@gmail.com,3-870-804-6687,Female,10/7/2020,Prague,90.4037147170881
746,Paige Herbert,410.726642993617,High school,3/27/2022,Paige Herbert,Paige Herbert,Paige_Herbert9280@tonsy.org,6-378-165-4283,Female,3/17/2021,Minneapolis,31.72864451433
747,Oliver Flack,461.001743300819,Junior college,3/8/2022,Oliver Flack,Oliver Flack,Oliver_Flack400@bulaffy.com,2-670-032-7718,Male,12/16/2021,Lyon,140.522731227578
748,Nathan Bailey,308.595352176854,University college,3/20/2022,Nathan Bailey,Nathan Bailey,Nathan_Bailey5954@bretoux.com,1-201-066-8502,Male,5/29/2020,Tokyo,182.764745501226
749,Diane Savage,90.5221011687639,Technical college,3/4/2022,Diane Savage,Diane Savage,Diane_Savage6125@nickia.com,8-277-867-3636,Female,9/17/2021,Hollywood,142.300742485701
750,Dakota Snow,199.747377043007,Graduate school,4/14/2022,Dakota Snow,Dakota Snow,Dakota_Snow4942@bretoux.com,2-833-516-0324,Female,10/19/2021,Miami,138.476459156944
751,Benjamin Jarvis,400.928233617883,University college,4/6/2022,Benjamin Jarvis,Benjamin Jarvis,Benjamin_Jarvis1721@nanoff.biz,3-103-835-1316,Male,5/7/2021,Amarillo,80.3052663222445
752,Carter Weatcroft,72.6872938227315,Gymnasium,3/7/2022,Carter Weatcroft,Carter Weatcroft,Carter_Weatcroft966@liret.org,0-101-763-8274,Male,4/9/2022,Prague,95.9998789564706
753,David Bayliss,-69.7580583974524,Gymnasium,4/14/2022,David Bayliss,David Bayliss,David_Bayliss9681@bulaffy.com,2-285-640-2054,Male,12/1/2020,Prague,102.844166786803
754,Elisabeth Tyrrell,449.130961352089,Graduate school,3/7/2022,Elisabeth Tyrrell,Elisabeth Tyrrell,Elisabeth_Tyrrell4015@guentu.biz,0-272-782-5751,Female,7/9/2021,San Bernardino,122.616320623838
755,Louise Cassidy,78.6599525677319,Graduate school,3/19/2022,Louise Cassidy,Louise Cassidy,Louise_Cassidy6280@ovock.tech,3-563-731-5237,Female,4/6/2020,Rome,142.410806594608
756,Aiden Middleton,383.936873816856,Middle school,4/17/2022,Aiden Middleton,Aiden Middleton,Aiden_Middleton1436@fuliss.net,0-167-381-7260,Male,8/4/2020,Lancaster,81.0827591433575
757,Benny Johnson,287.458458417309,Public university,4/9/2022,Benny Johnson,Benny Johnson,Benny_Johnson2154@tonsy.org,1-137-721-4328,Male,10/5/2020,San Bernardino,23.6698706027446
758,Jamie Denton,391.451773304237,Corporate university,3/28/2022,Jamie Denton,Jamie Denton,Jamie_Denton2151@bungar.biz,8-048-162-1838,Female,4/15/2022,Milwaukee,-5.83997372809796
759,Penelope Cunningham,261.714563314204,Corporate university,3/17/2022,Penelope Cunningham,Penelope Cunningham,Penelope_Cunningham411@supunk.biz,8-138-064-7758,Female,9/3/2020,Hayward,147.167295777782
760,Mike Kaur,102.829848394184,High school,3/23/2022,Mike Kaur,Mike Kaur,Mike_Kaur7977@eirey.tech,8-808-555-0641,Male,10/22/2020,Fort Lauderdale,35.5137974654854
761,Sebastian Nicolas,391.608136118207,Technical college,4/8/2022,Sebastian Nicolas,Sebastian Nicolas,Sebastian_Nicolas9019@joiniaa.com,0-030-615-8216,Male,9/7/2021,Cincinnati,38.0710273105982
762,Hannah Mills,292.006042983851,Corporate university,3/7/2022,Hannah Mills,Hannah Mills,Hannah_Mills365@joiniaa.com,3-611-180-7142,Female,3/30/2022,Hollywood,63.7296255527668
763,Matt Blackwall,33.5243619021607,High school,3/22/2022,Matt Blackwall,Matt Blackwall,Matt_Blackwall7989@twace.org,1-162-654-8163,Male,7/17/2020,Milano,46.019528950108
764,Kendra Anderson,15.3902591193981,Gymnasium,3/27/2022,Kendra Anderson,Kendra Anderson,Kendra_Anderson5743@typill.biz,1-330-011-7443,Female,7/30/2020,Philadelphia,139.749834032613
765,Greta Abbey,129.011895046575,Public university,4/18/2022,Greta Abbey,Greta Abbey,Greta_Abbey16@deons.tech,1-571-465-8423,Female,2/23/2022,Hayward,43.4708820574316
766,Isla Bennett,330.870667983252,University college,3/1/2022,Isla Bennett,Isla Bennett,Isla_Bennett8288@typill.biz,6-431-023-1327,Female,6/9/2021,Escondido,114.963314160222
767,Marvin Ramsey,69.4066961381616,Middle school,4/11/2022,Marvin Ramsey,Marvin Ramsey,Marvin_Ramsey3496@iatim.tech,7-546-844-4640,Male,3/5/2021,Long Beach,111.557358138988
768,Chadwick Armstrong,58.6618710116771,Gymnasium,3/12/2022,Chadwick Armstrong,Chadwick Armstrong,Chadwick_Armstrong3057@naiker.biz,6-858-517-0861,Male,6/19/2020,Murfreesboro,82.7151686198614
769,Kieth Mann,44.2709114343258,University college,3/19/2022,Kieth Mann,Kieth Mann,Kieth_Mann5403@cispeto.com,2-363-177-0044,Male,12/23/2020,Columbus,79.4124693523219
770,Logan Darcy,287.792649646659,High school,4/6/2022,Logan Darcy,Logan Darcy,Logan_Darcy3110@deons.tech,3-327-736-3052,Male,7/21/2020,Lyon,146.221278043567
771,Mark Plumb,-56.0694405245918,Corporate university,4/8/2022,Mark Plumb,Mark Plumb,Mark_Plumb4689@grannar.com,7-630-214-1680,Male,12/17/2021,Tallahassee,98.8610949878865
772,Harry Rodgers,-36.2024883316841,Public university,3/16/2022,Harry Rodgers,Harry Rodgers,Harry_Rodgers5528@deons.tech,0-404-863-0655,Male,11/3/2020,Pittsburgh,12.2860773877642
773,Henry Butler,-23.0403556102143,Corporate university,3/30/2022,Henry Butler,Henry Butler,Henry_Butler8032@cispeto.com,0-178-766-6674,Male,11/6/2021,Atlanta,24.0783085073709
774,Alexander Thorne,468.022053528122,University-preparatory school,3/21/2022,Alexander Thorne,Alexander Thorne,Alexander_Thorne1150@supunk.biz,0-804-242-0482,Male,10/17/2021,Quebec,50.7888165813819
775,Jane Egerton,4.68768662525699,Graduate school,3/12/2022,Jane Egerton,Jane Egerton,Jane_Egerton6347@sveldo.biz,3-543-163-1311,Female,9/19/2021,Indianapolis,-1.93788156608952
776,Summer Stanton,-99.4589897638461,Junior college,4/8/2022,Summer Stanton,Summer Stanton,Summer_Stanton6644@hourpy.biz,5-778-721-2550,Female,2/20/2022,Rochester,20.0315195429286
777,Chad Addley,208.757832896317,Corporate university,4/1/2022,Chad Addley,Chad Addley,Chad_Addley3894@liret.org,1-635-685-3826,Male,5/5/2021,Hayward,198.336009745177
778,Bart Michael,79.3751981423121,Middle school,3/17/2022,Bart Michael,Bart Michael,Bart_Michael3923@dionrab.com,8-138-651-4457,Male,7/8/2020,Madison,127.569478530236
779,Leah Collins,34.1847092426311,Public university,3/19/2022,Leah Collins,Leah Collins,Leah_Collins8916@elnee.tech,0-416-212-3454,Female,5/10/2021,Dallas,38.3496910912682
780,Camellia Atkinson,77.9191131782341,Public university,4/18/2022,Camellia Atkinson,Camellia Atkinson,Camellia_Atkinson5635@naiker.biz,0-516-580-6712,Female,3/4/2021,Venice,14.2202097951529
781,Chester Nicolas,100.956020786406,University-preparatory school,3/10/2022,Chester Nicolas,Chester Nicolas,Chester_Nicolas42@supunk.biz,0-873-134-2154,Male,1/23/2021,Arlington,161.305512407006
782,Erick Armstrong,29.6228902496504,Public university,3/16/2022,Erick Armstrong,Erick Armstrong,Erick_Armstrong7126@twipet.com,4-761-052-0337,Male,9/17/2021,Los Angeles,165.35798930114
783,Cedrick Morgan,368.59049373101,Corporate university,4/6/2022,Cedrick Morgan,Cedrick Morgan,Cedrick_Morgan1127@twipet.com,7-430-658-4207,Male,11/27/2021,Bucharest,90.3712048974685
784,Luke Niles,336.404759057055,Technical college,3/1/2022,Luke Niles,Luke Niles,Luke_Niles3427@hourpy.biz,1-218-434-7262,Male,3/23/2022,Anaheim,149.240995247495
785,Carter Patel,267.866931877503,High school,4/7/2022,Carter Patel,Carter Patel,Carter_Patel4540@nickia.com,1-815-668-5146,Male,10/25/2021,St. Louis,100.047020224876
786,Ruth Wright,-42.0903554694217,University college,3/30/2022,Ruth Wright,Ruth Wright,Ruth_Wright4500@infotech44.tech,0-701-174-2251,Female,11/19/2021,Jacksonville,153.002542404459
787,Tyler Groves,440.090085152579,Public university,4/10/2022,Tyler Groves,Tyler Groves,Tyler_Groves4114@bauros.biz,7-645-168-7872,Male,2/9/2022,Phoenix,44.7650078687654
788,Victoria Oakley,395.912711063359,Graduate school,4/16/2022,Victoria Oakley,Victoria Oakley,Victoria_Oakley5070@womeona.net,0-782-425-1178,Female,11/10/2021,Irving,6.52553145705049
789,Isla Mcgregor,448.299655522825,Public university,4/11/2022,Isla Mcgregor,Isla Mcgregor,Isla_Mcgregor7134@guentu.biz,3-421-700-4800,Female,8/28/2021,Richmond,83.9586903890402
790,Angela Whatson,447.834446071104,High school,4/17/2022,Angela Whatson,Angela Whatson,Angela_Whatson7496@bretoux.com,8-384-445-0854,Female,4/10/2021,Portland,63.8043748283779
791,Belinda Mills,141.882913867888,University college,3/28/2022,Belinda Mills,Belinda Mills,Belinda_Mills4133@guentu.biz,8-271-168-1553,Female,10/14/2021,Kansas City,194.74352399015
792,Liam Gallacher,99.487374486163,University college,3/2/2022,Liam Gallacher,Liam Gallacher,Liam_Gallacher9896@sveldo.biz,1-565-264-5481,Male,12/15/2021,Springfield,56.1496393238891
